word_id,word,pinyin,video_url,sort_order,category
00000150_3,便利,biànlì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000150.mp4,54,common
00001340_3,遍地,biàndì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001340.mp4,55,common
00000177_3,标题②,biāotí,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000177.mp4,56,common
00000523_0,标准,biāozhŭn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000523.mp4,57,common
'00000606,表格,biǎogé,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000606.mp4,58,common
00000762_0,表演,biǎoyǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000762.mp4,59,common
00000240_1,宾馆,bīnguǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000240.mp4,60,common
00000366_3,濒临,bīnlín,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000366.mp4,61,common
00000996_1,冰②,bīng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000996.mp4,62,common
00000846_1,秉性,bĭngxìng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000846.mp4,63,common
'00002299,博士,bóshì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00002299.mp4,64,common
00000010_0,不,bù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000010.mp4,65,common
00000061_1,不懂,bùdŏng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000061.mp4,66,common
00000317_2,不管,bùguǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000317.mp4,67,common
00000061_3,不会,bùhuì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000061.mp4,68,common
00000120_1,不久,bùjiŭ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000120.mp4,69,common
00000317_0,不论,bùlùn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000317.mp4,70,common
00000054_1,不能②,bùnéng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000054.mp4,71,common
00004670_0,不喜欢,bùxĭhuān,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00004670.mp4,72,common
00000054_0,不行②,bùxíng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000054.mp4,73,common
00000061_0,不知道①,bùzhīdào,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000061.mp4,74,common
00000178_1,布,bù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000178.mp4,75,common
00000875_0,步骤,bùzhòu,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000875.mp4,76,common
'00000922,部分,bù·fen,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000922.mp4,77,common
'00001308,擦,cā,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001308.mp4,78,common
00000428_0,猜,cāi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000428.mp4,79,common
00000217_3,才能,cáinéng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000217.mp4,80,common
00000075_2,材料①,cáiliào,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000075.mp4,81,common
00000186_2,采纳,cǎinà,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000186.mp4,82,common
00000276_1,彩色,cǎisè,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000276.mp4,83,common
00000190_0,菜,cài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000190.mp4,84,common
00000404_0,参观,cānguān,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000404.mp4,85,common
00000239_0,参加,cānjiā,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000239.mp4,86,common
00000236_2,餐厅,cāntīng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000236.mp4,87,common
